Image Name,Drone Latitude,Drone Longitude,Drone Altitude,Camera Center Latitude,Camera Center Longitude,Object Latitude,Object Longitude,Class ID,Confidence,TL Latitude,TL Longitude,TR Latitude,TR Longitude,BR Latitude,BR Longitude,BL Latitude,BL Longitude,Duplicate
B_B_右岸ーBー１静止画_DJI_0273.JPG,34.630983,133.881825,6.1,34.631011,133.881882,34.630992,133.881831,39.0,0.31,34.631064,133.881866,34.630974,133.88193,34.630983,133.88183,34.630987,133.881827,False
B_B_右岸ーBー１静止画_DJI_0265.JPG,34.631136,133.881692,6.1,34.631164,133.881749,34.631152,133.881707,55.0,0.65,34.631225,133.881735,34.631126,133.881807,34.631135,133.8817,34.631142,133.881695,False
B_B_右岸ーBー１静止画_DJI_0260.JPG,34.631239,133.8816,6.1,34.631272,133.881653,34.631272,133.88165,5.0,0.48,34.631314,133.881627,34.631239,133.881695,34.631239,133.881602,34.631241,133.881601,False
B_B_右岸ーBー１静止画_DJI_0260.JPG,34.631239,133.8816,6.1,34.631272,133.881653,34.631263,133.881614,5.0,0.64,34.631314,133.881627,34.631239,133.881695,34.631239,133.881602,34.631241,133.881601,True
B_B_右岸ーBー１静止画_DJI_0260.JPG,34.631239,133.8816,6.1,34.631272,133.881653,34.631252,133.881621,5.0,0.95,34.631314,133.881627,34.631239,133.881695,34.631239,133.881602,34.631241,133.881601,True
B_B_右岸ーBー１静止画_DJI_0260.JPG,34.631239,133.8816,6.1,34.631272,133.881653,34.631255,133.881622,5.0,0.37,34.631314,133.881627,34.631239,133.881695,34.631239,133.881602,34.631241,133.881601,True
B_B_右岸ーBー１静止画_DJI_0260.JPG,34.631239,133.8816,6.1,34.631272,133.881653,34.631252,133.88162,16.0,0.33,34.631314,133.881627,34.631239,133.881695,34.631239,133.881602,34.631241,133.881601,False
B_B_右岸ーBー１静止画_DJI_0264.JPG,34.631161,133.881675,6.2,34.631187,133.881735,,,,,34.631249,133.881726,34.631145,133.881792,34.63116,133.881683,34.631167,133.881679,False
B_B_右岸ーBー１静止画_DJI_0208.JPG,34.632497,133.880706,7.6,34.632507,133.880788,,,,,34.632585,133.880812,34.632438,133.880838,34.632493,133.880716,34.632504,133.880714,False
B_B_右岸ーBー１静止画_DJI_0211.JPG,34.632403,133.880725,7.6,34.632413,133.880807,,,,,34.632491,133.880831,34.632343,133.880857,34.632398,133.880735,34.63241,133.880733,False
B_B_右岸ーBー１静止画_DJI_0240.JPG,34.631672,133.881214,6.1,34.631696,133.881274,,,,,34.631742,133.881257,34.631658,133.881307,34.631672,133.881216,34.631674,133.881215,False
B_B_右岸ーBー１静止画_DJI_0235.JPG,34.6318,133.881139,6.1,34.631827,133.881197,34.631818,133.881155,58.0,0.25,34.631869,133.881175,34.631791,133.88123,34.6318,133.88114,34.631801,133.881139,False
B_B_右岸ーBー１静止画_DJI_0293.JPG,34.630667,133.882128,6.1,34.630704,133.882176,34.630689,133.88214,58.0,0.25,34.630747,133.882144,34.630676,133.882226,34.630667,133.882131,34.630669,133.882128,False
B_B_右岸ーBー１静止画_DJI_0293.JPG,34.630667,133.882128,6.1,34.630704,133.882176,34.630678,133.882158,33.0,0.48,34.630747,133.882144,34.630676,133.882226,34.630667,133.882131,34.630669,133.882128,False
B_B_右岸ーBー１静止画_DJI_0242.JPG,34.631625,133.881247,6.1,34.631651,133.881306,,,,,34.631696,133.881287,34.631614,133.881341,34.631625,133.881249,34.631627,133.881248,False
B_B_右岸ーBー１静止画_DJI_0230.JPG,34.631931,133.881028,5.4,34.631963,133.881072,34.631938,133.881046,5.0,0.62,34.631985,133.881041,34.631935,133.881095,34.631931,133.881032,34.631934,133.881029,False
B_B_右岸ーBー１静止画_DJI_0203.JPG,34.632658,133.880756,7.6,34.632666,133.880838,34.63268,133.880906,12.0,0.43,34.632904,133.88107,34.632479,133.88113,34.632642,133.880791,34.632681,133.880785,False
B_B_右岸ーBー１静止画_DJI_0203.JPG,34.632658,133.880756,7.6,34.632666,133.880838,34.632675,133.880912,39.0,0.25,34.632904,133.88107,34.632479,133.88113,34.632642,133.880791,34.632681,133.880785,False
B_B_右岸ーBー１静止画_DJI_0203.JPG,34.632658,133.880756,7.6,34.632666,133.880838,34.632676,133.880911,14.0,0.43,34.632904,133.88107,34.632479,133.88113,34.632642,133.880791,34.632681,133.880785,False
B_B_右岸ーBー１静止画_DJI_0270.JPG,34.631036,133.881778,6.1,34.631063,133.881836,34.631067,133.881803,58.0,0.71,34.631124,133.881824,34.631024,133.881893,34.631035,133.881786,34.631042,133.881781,False
B_B_右岸ーBー１静止画_DJI_0270.JPG,34.631036,133.881778,6.1,34.631063,133.881836,34.631067,133.881809,39.0,0.28,34.631124,133.881824,34.631024,133.881893,34.631035,133.881786,34.631042,133.881781,True
B_B_右岸ーBー１静止画_DJI_0270.JPG,34.631036,133.881778,6.1,34.631063,133.881836,34.631067,133.881811,12.0,0.57,34.631124,133.881824,34.631024,133.881893,34.631035,133.881786,34.631042,133.881781,True
